time, iteration, regSquaredError
2017-05-25 01:49:42,545,84668.4665221852
2017-05-25 01:50:25,546,84667.7223280451
2017-05-25 01:51:07,547,84666.9809222279
2017-05-25 01:51:49,548,84666.2422883277
2017-05-25 01:52:30,549,84665.5064100697
2017-05-25 01:53:12,550,84664.7732713156
2017-05-25 01:53:53,551,84664.0428560609
2017-05-25 01:54:34,552,84663.3151484278
2017-05-25 01:55:15,553,84662.5901326624
2017-05-25 01:55:58,554,84661.8677931534
2017-05-25 01:56:40,555,84661.1481144046
2017-05-25 01:57:22,556,84660.4310810423
2017-05-25 01:58:04,557,84659.716677828
2017-05-25 01:58:46,558,84659.0048896388
2017-05-25 01:59:27,559,84658.2957014738
2017-05-25 02:00:09,560,84657.5890984475
2017-05-25 02:00:51,561,84656.8850658031
2017-05-25 02:01:33,562,84656.1835888961
2017-05-25 02:02:15,563,84655.484653199
2017-05-25 02:02:57,564,84654.7882442928
2017-05-25 02:03:38,565,84654.0943478884
2017-05-25 02:04:20,566,84653.4029497873
2017-05-25 02:05:02,567,84652.7140359278
2017-05-25 02:05:44,568,84652.0275923392
2017-05-25 02:06:26,569,84651.3436051754
2017-05-25 02:07:07,570,84650.6620606807
2017-05-25 02:07:49,571,84649.9829452225
2017-05-25 02:08:31,572,84649.3062452688
2017-05-25 02:09:12,573,84648.6319473926
2017-05-25 02:09:54,574,84647.9600382718
2017-05-25 02:10:36,575,84647.290504683
2017-05-25 02:11:18,576,84646.6233335161
2017-05-25 02:12:00,577,84645.9585117475
2017-05-25 02:12:41,578,84645.296026465
2017-05-25 02:13:24,579,84644.6358648555
2017-05-25 02:14:06,580,84643.9780141901
2017-05-25 02:14:48,581,84643.3224618578
2017-05-25 02:15:30,582,84642.6691953242
2017-05-25 02:16:12,583,84642.0182021671
2017-05-25 02:16:54,584,84641.3694700428
2017-05-25 02:17:36,585,84640.7229867098
2017-05-25 02:18:18,586,84640.078740024
2017-05-25 02:19:00,587,84639.4367179203
2017-05-25 02:19:42,588,84638.7969084354
2017-05-25 02:20:24,589,84638.1592996922
2017-05-25 02:21:06,590,84637.5238799023
2017-05-25 02:21:47,591,84636.8906373613
2017-05-25 02:22:29,592,84636.2595604569
2017-05-25 02:23:11,593,84635.6306376623
2017-05-25 02:23:52,594,84635.0038575385
2017-05-25 02:24:34,595,84634.3792087259
2017-05-25 02:25:16,596,84633.7566799558
2017-05-25 02:25:57,597,84633.1362600353
2017-05-25 02:26:39,598,84632.5179378656
2017-05-25 02:27:21,599,84631.9017024094
2017-05-25 02:28:02,600,84631.2875427314
2017-05-25 02:28:44,601,84630.6754479654
2017-05-25 02:29:25,602,84630.0654073271
2017-05-25 02:30:07,603,84629.4574101106
2017-05-25 02:30:48,604,84628.851445684
2017-05-25 02:31:31,605,84628.2475035036
2017-05-25 02:32:13,606,84627.6455730848
2017-05-25 02:32:55,607,84627.0456440416
2017-05-25 02:33:36,608,84626.4477060404
2017-05-25 02:34:18,609,84625.8517488301
2017-05-25 02:35:00,610,84625.2577622506
2017-05-25 02:35:42,611,84624.6657361825
2017-05-25 02:36:23,612,84624.0756606006
2017-05-25 02:37:06,613,84623.487525548
2017-05-25 02:37:48,614,84622.9013211368
2017-05-25 02:38:30,615,84622.3170375478
2017-05-25 02:39:13,616,84621.7346650315
2017-05-25 02:39:54,617,84621.1541939165
2017-05-25 02:40:36,618,84620.5756145833
2017-05-25 02:41:17,619,84619.9989174961
2017-05-25 02:41:59,620,84619.4240931739
2017-05-25 02:42:40,621,84618.8511322176
2017-05-25 02:43:23,622,84618.2800252746
2017-05-25 02:44:04,623,84617.7107630716
2017-05-25 02:44:46,624,84617.1433363979
2017-05-25 02:45:28,625,84616.5777361004
2017-05-25 02:46:10,626,84616.0139531038
2017-05-25 02:46:52,627,84615.4519783733
2017-05-25 02:47:34,628,84614.8918029651
2017-05-25 02:48:16,629,84614.3334179669
2017-05-25 02:48:58,630,84613.7768145537
2017-05-25 02:49:41,631,84613.2219839468
2017-05-25 02:50:23,632,84612.6689174363
2017-05-25 02:51:05,633,84612.1176063616
2017-05-25 02:51:46,634,84611.568042131
2017-05-25 02:52:29,635,84611.0202162098
2017-05-25 02:53:10,636,84610.4741201145
2017-05-25 02:53:52,637,84609.9297454289
2017-05-25 02:54:33,638,84609.3870837927
2017-05-25 02:55:14,639,84608.8461268858
2017-05-25 02:55:55,640,84608.306866477
2017-05-25 02:56:38,641,84607.7692943559
2017-05-25 02:57:20,642,84607.2334023931
2017-05-25 02:58:02,643,84606.6991824996
2017-05-25 02:58:44,644,84606.166626648
2017-05-25 02:59:25,645,84605.6357268585
2017-05-25 03:00:08,646,84605.1064752163
2017-05-25 03:00:50,647,84604.5788638436
2017-05-25 03:01:32,648,84604.0528849213
2017-05-25 03:02:15,649,84603.5285306935
2017-05-25 03:02:56,650,84603.0057934379
2017-05-25 03:03:38,651,84602.4846654983
2017-05-25 03:04:20,652,84601.9651392567
2017-05-25 03:05:02,653,84601.4472071542
2017-05-25 03:05:44,654,84600.930861683
2017-05-25 03:06:26,655,84600.4160953715
2017-05-25 03:07:09,656,84599.902900815
2017-05-25 03:07:51,657,84599.3912706459
2017-05-25 03:08:34,658,84598.8811975509
2017-05-25 03:09:15,659,84598.3726742545
2017-05-25 03:09:57,660,84597.865693541
2017-05-25 03:10:39,661,84597.360248234
2017-05-25 03:11:22,662,84596.8563312063
2017-05-25 03:12:04,663,84596.3539353761
2017-05-25 03:12:47,664,84595.8530537074
2017-05-25 03:13:29,665,84595.3536792148
2017-05-25 03:14:10,666,84594.8558049483
2017-05-25 03:14:52,667,84594.3594240069
2017-05-25 03:15:34,668,84593.8645295368
2017-05-25 03:16:16,669,84593.371114722
2017-05-25 03:16:57,670,84592.8791728046
2017-05-25 03:17:39,671,84592.3886970456
2017-05-25 03:18:21,672,84591.8996807773
2017-05-25 03:19:03,673,84591.4121173471
2017-05-25 03:19:45,674,84590.9260001668
2017-05-25 03:20:27,675,84590.4413226724
2017-05-25 03:21:09,676,84589.9580783567
2017-05-25 03:21:51,677,84589.4762607452
2017-05-25 03:22:32,678,84588.9958634013
2017-05-25 03:23:14,679,84588.5168799441
2017-05-25 03:23:56,680,84588.0393040112
2017-05-25 03:24:38,681,84587.563129295
2017-05-25 03:25:19,682,84587.0883495244
2017-05-25 03:26:01,683,84586.6149584647
2017-05-25 03:26:44,684,84586.1429499245
2017-05-25 03:27:25,685,84585.6723177506
2017-05-25 03:28:07,686,84585.2030558186
2017-05-25 03:28:49,687,84584.7351580593
2017-05-25 03:29:30,688,84584.2686184256
2017-05-25 03:30:12,689,84583.8034309115
2017-05-25 03:30:53,690,84583.339589556
2017-05-25 03:31:34,691,84582.8770884248
2017-05-25 03:32:15,692,84582.4159216233
2017-05-25 03:32:57,693,84581.956083305
2017-05-25 03:33:38,694,84581.4975676375
2017-05-25 03:34:20,695,84581.0403688339
2017-05-25 03:35:01,696,84580.5844811551
2017-05-25 03:35:42,697,84580.1298988786
2017-05-25 03:36:25,698,84579.6766163235
2017-05-25 03:37:06,699,84579.2246278459
2017-05-25 03:37:47,700,84578.7739278319
2017-05-25 03:38:29,701,84578.3245107058
2017-05-25 03:39:10,702,84577.8763709291
2017-05-25 03:39:52,703,84577.42950298
2017-05-25 03:40:34,704,84576.9839013935
2017-05-25 03:41:16,705,84576.539560716
2017-05-25 03:41:58,706,84576.0964755402
2017-05-25 03:42:40,707,84575.6546404876
2017-05-25 03:43:23,708,84575.2140502106
2017-05-25 03:44:04,709,84574.7746993938
2017-05-25 03:44:46,710,84574.3365827592
2017-05-25 03:45:28,711,84573.8996950465
2017-05-25 03:46:11,712,84573.4640310418
2017-05-25 03:46:52,713,84573.0295855545
2017-05-25 03:47:33,714,84572.5963534214
2017-05-25 03:48:16,715,84572.1643295242
2017-05-25 03:48:58,716,84571.7335087577
2017-05-25 03:49:40,717,84571.3038860553
2017-05-25 03:50:22,718,84570.8754563752
2017-05-25 03:51:03,719,84570.4482147193
2017-05-25 03:51:45,720,84570.0221561044
2017-05-25 03:52:27,721,84569.5972755739
2017-05-25 03:53:08,722,84569.1735682115
2017-05-25 03:53:50,723,84568.7510291302
2017-05-25 03:54:31,724,84568.329653459
2017-05-25 03:55:13,725,84567.9094363688
2017-05-25 03:55:55,726,84567.4903730498
2017-05-25 03:56:36,727,84567.072458716
2017-05-25 03:57:18,728,84566.6556886285
2017-05-25 03:58:00,729,84566.2400580534
2017-05-25 03:58:41,730,84565.8255622946
2017-05-25 03:59:22,731,84565.4121966903
2017-05-25 04:00:04,732,84564.9999565895
2017-05-25 04:00:45,733,84564.5888373729
2017-05-25 04:01:26,734,84564.1788344602
2017-05-25 04:02:07,735,84563.7699432822
2017-05-25 04:02:48,736,84563.362159298
2017-05-25 04:03:29,737,84562.9554780017
2017-05-25 04:04:12,738,84562.5498949038
2017-05-25 04:04:53,739,84562.1454055479
2017-05-25 04:05:35,740,84561.7420054928
2017-05-25 04:06:17,741,84561.3396903283
2017-05-25 04:06:58,742,84560.9384556752
2017-05-25 04:07:40,743,84560.538297167
2017-05-25 04:08:21,744,84560.1392104741
2017-05-25 04:09:03,745,84559.7411912806
2017-05-25 04:09:44,746,84559.3442352934
2017-05-25 04:10:25,747,84558.9483382629
2017-05-25 04:11:07,748,84558.5534959324
2017-05-25 04:11:49,749,84558.1597041034
2017-05-25 04:12:30,750,84557.7669585732
2017-05-25 04:13:11,751,84557.3752551759
2017-05-25 04:13:52,752,84556.9845897652
2017-05-25 04:14:33,753,84556.5949582157
2017-05-25 04:15:14,754,84556.2063564327
2017-05-25 04:15:56,755,84555.8187803348
2017-05-25 04:16:37,756,84555.4322258712
2017-05-25 04:17:19,757,84555.0466890049
2017-05-25 04:18:01,758,84554.6621657284
2017-05-25 04:18:43,759,84554.2786520495
2017-05-25 04:19:25,760,84553.8961440068
2017-05-25 04:20:06,761,84553.5146376571
2017-05-25 04:20:48,762,84553.134129073
2017-05-25 04:21:30,763,84552.7546143552
2017-05-25 04:22:12,764,84552.3760896247
2017-05-25 04:22:54,765,84551.9985510181
2017-05-25 04:23:36,766,84551.6219946999
2017-05-25 04:24:18,767,84551.2464168511
2017-05-25 04:25:01,768,84550.8718136768
2017-05-25 04:25:43,769,84550.4981814026
2017-05-25 04:26:25,770,84550.1255162675
2017-05-25 04:27:06,771,84549.7538145361
2017-05-25 04:27:48,772,84549.3830725013
